COSPAR_number;NORAD_number;owner1;owner2;owner3
2021-006BM ;47472;Planet Labs, Inc.;;
2021-006DU ;47528;Planet Labs, Inc.;;
2021-006DM ;47521;Planet Labs, Inc.;;
2021-006DG ;47516;Planet Labs, Inc.;;
2021-006CH ;47492;Planet Labs, Inc.;;
2021-006CM ;47496;Planet Labs, Inc.;;
2021-006CR ;47500;Planet Labs, Inc.;;
2021-006CP ;47498;Planet Labs, Inc.;;
2021-006EA ;47540;Planet Labs, Inc.;;
2021-006AV ;47456;Planet Labs, Inc.;;
2021-006AR ;47452;Planet Labs, Inc.;;
2021-006EF ;47545;Planet Labs, Inc.;;
2021-006DZ ;47539;Planet Labs, Inc.;;
2021-006EC ;47542;Planet Labs, Inc.;;
2021-006CL ;47495;Planet Labs, Inc.;;
2021-006DE ;47514;Planet Labs, Inc.;;
2021-006CK ;47494;Planet Labs, Inc.;;
2021-006EE ;47544;Planet Labs, Inc.;;
2021-006BQ ;47475;Planet Labs, Inc.;;
2021-006BJ ;47469;Planet Labs, Inc.;;
2021-006BS ;47477;Planet Labs, Inc.;;
2021-006BN ;47473;Planet Labs, Inc.;;
2021-006DW ;47530;Planet Labs, Inc.;;
2021-006DN ;47522;Planet Labs, Inc.;;
2021-006CF ;47490;Planet Labs, Inc.;;
2021-006CG ;47491;Planet Labs, Inc.;;
2021-006ER ;47698;Planet Labs, Inc.;;
2021-006EQ ;47612;Planet Labs, Inc.;;
2021-006EN ;47687;Planet Labs, Inc.;;
2021-006EM ;47686;Planet Labs, Inc.;;
2021-006EP ;47688;Planet Labs, Inc.;;
2021-006EK ;47684;Planet Labs, Inc.;;
2021-006EL ;47685;Planet Labs, Inc.;;
2021-006EJ ;47617;Planet Labs, Inc.;;
2021-006DF ;47515;Planet Labs, Inc.;;
2021-006DJ ;47518;Planet Labs, Inc.;;
2021-006DT ;47527;Planet Labs, Inc.;;
